COUNTYGEOID,C01,C02,C03,C04,C05,label
01089,0.8336833733048125,0.2208994771304145,0.07170028249537641,0.0034503057042255298,0.005387473404824438,1
01091,-0.4578191881467306,0.7914759041456755,0.025800975012520273,-0.010148167993464987,-0.01845781823849079,2
01093,-0.04645530518129977,-0.12487063217676325,-0.011388653095098577,-0.07310141627531473,-0.06331235653141012,3
01095,-0.1019275831976952,-0.1856744358383213,-0.2187562052076002,0.36823546985622346,0.012452885214078445,5
01097,-0.0789497043487856,0.09877127686554674,-0.19335428746483752,0.0901823101219355,0.3747356985836177,3
01099,-0.4586566751466996,0.7904904285242823,0.025253031748673282,-0.010417198735861334,-0.018190874190899008,2
01101,0.8328811405097908,0.2439435631722055,-0.136907389867159,-0.07217626566948232,-0.025919838942341837,1
01103,-0.21203741584815405,0.19642851631919306,-0.16002175713993244,0.2916525761494258,0.01795121208062375,3
01105,-0.07880609982962436,-0.11132891368754337,-0.011524853589667223,-0.05604569181776088,-0.04390749017079113,3
01107,-0.4589419391840677,0.7909884745136486,0.02508173992069689,-0.011007724409879405,-0.01637464378417015,2
01109,-0.07880609982962436,-0.11132891368754337,-0.011524853589667221,-0.05604569181776087,-0.043907490170791125,3
01111,-0.12421183429289945,-0.2162406120422689,-0.055529310068009125,-0.1433412221435184,-0.2461202327172817,3
01113,-0.4593962503064649,0.789758279696978,0.019580014066939884,0.0017461784060666134,-0.016108569615368308,2
01115,0.030203340821689868,-0.1712762839952077,0.8826405376674895,0.2761018955343283,0.09541880276687492,4
01117,-0.13558519608590547,-0.2115931758217805,-0.11728651274658305,-0.3805506981746447,0.8048453783506959,0
01119,-0.09366593391509537,-0.14206018008511476,-0.03578040523066728,-0.11624318046340547,0.11903945767455446,3
01121,-0.4521918281812924,0.7707322223018469,0.023705963327237026,-0.01053197302856918,-0.022181944611268448,2
01123,0.02944061470567628,-0.17289348355939554,0.8815636201519651,0.2754296505774662,0.09407597968173748,4
01125,0.1468663977315523,-0.15393981966749054,0.5769286409212829,0.5961128065668561,0.14041302888620694,4
01127,-0.13570106132775353,-0.210988796307752,-0.11856441130761325,-0.38061675611043777,0.8054439159619426,0
01129,-0.08938769520027864,-0.12782912933534182,-0.027177626688935117,-0.1007381006968136,0.07521770858446282,3
01131,-0.4587567378884283,0.7913142955279249,0.025340682914884727,-0.010178514129243204,-0.018126374949173244,2
01133,-0.08140457006821643,-0.14583327062548238,-0.01341440050542432,-0.08431100641728846,-0.043405831358011286,3
05001,-0.12679712505830212,-0.2136106768463092,-0.4172438955661762,0.784863020054525,0.09351269673323127,5
05003,-0.4587770829502773,0.7911983187139332,0.025330206235860526,-0.010207337344275796,-0.018170514635342642,2
05005,-0.07172806199832632,-0.1361049615230072,-0.004949476166886577,-0.0662883281208811,-0.06344241336860347,3
05007,-0.08157290391021726,-0.11531136637992075,-0.012548184380884349,-0.06118628756540082,-0.04421496872207998,3
05009,0.8255743427014643,0.21159597067383454,0.127074133843393,0.023470138896570958,0.013333585284567826,1
05011,-0.07830808572179844,-0.1160785384900942,-0.010823690726877245,-0.060041080383817086,-0.039540147269603726,3
05013,-0.4589209901297062,0.7909836484450065,0.02526309876831189,-0.010546794495154254,-0.01857929660775484,2
05015,-0.07880609982962436,-0.1113289136875434,-0.011524853589667223,-0.05604569181776084,-0.0439074901707911,3
05017,-0.07880609982962436,-0.1113289136875434,-0.011524853589667223,-0.05604569181776084,-0.0439074901707911,3
05019,-0.02649307313794719,-0.039766024377330914,0.8780134621664366,0.27782183546518985,0.10137942280970698,4
05021,-0.11899727629067257,-0.19126345200922384,-0.040646165018444855,-0.15265142979811636,-0.07313363337321023,3
05023,-0.13573972160720132,-0.24727175231427176,-0.0580543118288437,-0.2572979425663487,-0.5098645059275752,3
05025,-0.08161710565123023,-0.1161064365351098,-0.012527455517802663,-0.060159669418245375,-0.04434801392847792,3
05027,-0.12204491837686685,-0.15041062508732975,-0.2514532727624753,0.5646399681491666,0.0645068563005133,5
05029,-0.458738607796631,0.7913527723185905,0.02535762103687584,-0.010158355108968028,-0.01809701899440111,2
05031,0.8329543598334898,0.24408482471418805,-0.13643805849166335,-0.07312232191581787,-0.026073357754216358,1
05033,-0.07857861214277034,-0.11448810754672067,-0.005087201509697034,-0.053108642444351255,-0.04628847708805877,3
05035,-0.09302846145745093,-0.1396257420116908,-0.12257327272993328,0.17467320771721204,-0.006094322195159619,3
05037,0.8329556774819602,0.2440876303131793,-0.13643719886883346,-0.0731194235530263,-0.02606797605741053,1
05039,-0.4587337211860674,0.7913611266228154,0.02536007504113711,-0.010150135813182031,-0.01808856329614925,2
05041,-0.4587368615782909,0.7913557226971734,0.025358498708713602,-0.010155493905377478,-0.01809416455827328,2
05043,-0.10729337987105156,-0.17270210746526912,-0.025883326379788574,-0.1281486459715175,-0.1454366950826024,3
05045,-0.1189991326392318,-0.18651269050266306,-0.034382323121040614,-0.13739548970999751,-0.1526124908461207,3
05047,-0.1018980006892086,-0.15923420371024505,-0.0259054022538109,-0.0993959651548294,-0.11608276258151212,3
05049,-0.07880609982962436,-0.1113289136875434,-0.011524853589667207,-0.05604569181776084,-0.043907490170791104,3
05051,-0.08996171529270743,-0.17018946607676574,0.18320395369313056,0.004702798332467039,0.005632720436076073,3
05053,-0.14047821655585166,-0.257179626495818,-0.060038907400478875,-0.26799743898064465,-0.5207971101029024,3
05055,-0.10251582341871092,-0.19145704075528114,-0.02760881382106472,-0.14815439672576838,-0.19738033512502567,3
05057,0.8328895965817762,0.24397037845564226,-0.13647707239625131,-0.0732481716593894,-0.026112299267424508,1
05059,-0.1117837578639457,-0.17138146832750706,-0.0321389945441241,-0.10514492281799033,-0.1018616016709044,3
05061,-0.12523438054689146,-0.21547003589929106,-0.4209880082307754,0.7958614907574825,0.09838364485277876,5
05063,0.7970795095549689,0.2384259221280704,-0.21159897040989412,0.0898344175325638,0.0017444937553058673,1
05065,-0.13732886975258365,-0.2151618319905784,-0.11981414306972005,-0.3868813394100217,0.7852713325366594,0
