COUNTYGEOID,label,tri_chem_id,quantity_kg
42073,1,N078,22825.353192557304
42079,3,N078,527.98151868
42091,1,N078,8.618255030000002
42107,1,N078,42.63768278000001
42125,3,N078,1660.9327890001005
42129,1,N078,8342.017276670002
42133,1,N078,12.70058636
72013,4,N078,1236.94639299
44003,1,N078,0.45359237
45011,4,N078,273.5706301944
45015,0,N078,123.02332259139999
45031,4,N078,767.47829004
45035,1,N078,13.031754149337006
45057,2,N078,4.5359237000000014
45075,1,N078,462.6642174
47057,4,N078,5544.25953851
47085,4,N078,34049.818438790004
47089,4,N078,19244.46097011438
47113,4,N078,117376.7643656839
47123,1,N078,14.514955840000002
47125,4,N078,3811569.1078926083
47145,4,N078,37.19457434
47157,1,N078,34.3187987142
47159,4,N078,37128.97742111385
47163,1,N078,461.076644105
48139,0,N078,357.24798983489
48141,1,N078,18052.976326000004
48187,4,N078,5987.419284000001
48201,3,N078,20339.2542359006
48245,3,N078,698.7318304428003
48289,4,N078,914.89581029
48309,1,N078,589.670081
48355,3,N078,351776.7749972754
48439,1,N078,86.63614267
49003,3,N078,4253.78924586
49035,4,N078,983401.7570689314
49045,4,N078,1485086.761585712
51015,1,N078,11.79340162
51121,1,N078,8.61825503
51550,5,N078,4.5359237000000014
51840,2,N078,9.0718474
53033,1,N078,163.29325319999995
53051,4,N078,184.15850222
53061,1,N078,337.47272328
53063,1,N078,3.447302012
53073,2,N078,25.40117272
55079,1,N078,0.036514185785
55111,4,N078,48080.79122
54029,4,N078,3035.0781733287395
54107,2,N078,1903.27358452
01015,1,000108907,3.17514659
01045,0,000108907,8836.88655234
01073,1,000108907,30821.601541500004
01097,2,000108907,6030.05696678
01129,0,000108907,5261.671492
05051,0,000108907,2014.9933852510003
05063,1,000108907,50366.8967648
05081,5,000108907,3.5244127149000013
05093,4,000108907,3.62873896
05125,1,000108907,24.49398798000001
05139,1,000108907,396.1825445062101
06013,3,000108907,781.5396535100001
06029,3,000108907,797.7510448138
06059,5,000108907,1542.214058
06067,5,000108907,265.35153645
06085,3,000108907,1.9776627332000003
08001,3,000108907,1.81436948
08123,1,000108907,1814.5055577110002
09009,1,000108907,3675.00538174
10003,3,000108907,336946.5561308
12019,2,000108907,254.46531957
13245,0,000108907,892868.91121043
19067,3,000108907,2640.36118577
19069,2,000108907,3.62873896
19079,2,000108907,156.03577528000002
19139,0,000108907,100511.98686067
17031,1,000108907,1249.64697935
17111,1,000108907,58.9670081
17163,1,000108907,509648.22226934
17199,0,000108907,6259.574706
18017,1,000108907,106.59420695000007
18089,3,000108907,11.79340162
18107,1,000108907,344.7302012
18133,5,000108907,423.337758921
18157,1,000108907,1906.44873111
20021,3,000108907,526.1671491999998
20125,2,000108907,1.81436948
20133,3,000108907,4.740040266499999
