COUNTYGEOID,C01,C02,C03,C04,C05,C06,label
02198,-0.1254271808597808,-0.12126116860989936,-0.08976155029994462,-0.04167633839816568,-0.04527841066631141,-0.02286867185603294,0
02220,-0.15766298154812028,-0.0946862952327965,-0.1878301155289943,-0.30476246908983085,0.8867052780023036,0.09563086722934973,4
02230,-0.1254271808597808,-0.12126116860989936,-0.08976155029994462,-0.04167633839816568,-0.04527841066631141,-0.022868671856032943,0
02240,-0.1254271808597808,-0.12126116860989936,-0.08976155029994462,-0.04167633839816568,-0.04527841066631141,-0.022868671856032943,0
02261,-0.1254271808597808,-0.12126116860989936,-0.08976155029994462,-0.04167633839816569,-0.045278410666311435,-0.022868671856032943,0
02275,-0.1254271808597808,-0.12126116860989936,-0.08976155029994462,-0.04167633839816569,-0.045278410666311435,-0.02286867185603295,0
02282,-0.1254271808597808,-0.12126116860989936,-0.08976155029994462,-0.04167633839816569,-0.045278410666311414,-0.022868671856032943,0
02290,-0.1254271808597808,-0.12126116860989936,-0.08976155029994462,-0.04167633839816569,-0.045278410666311414,-0.022868671856032943,0
01001,-0.3053727814368922,0.8393381484045045,0.1085577231339184,0.004166454575035557,-0.05791300657158317,-0.011858514791117424,2
01003,-0.30450209244332604,0.8275876286682088,0.10740251878665742,0.0029365795618009004,-0.05887895197421116,-0.013043902370431829,2
01005,-0.1254271808597808,-0.12126116860989936,-0.08976155029994462,-0.0416763383981657,-0.04527841066631141,-0.02286867185603294,0
01007,-0.1310033977909272,-0.12662744100742815,-0.10013528106080484,-0.045070269404545,-0.055148024418644366,-0.025271121927090526,0
01009,-0.1254271808597808,-0.1212611686098993,-0.08976155029994462,-0.0416763383981657,-0.0452784106663114,-0.02286867185603294,0
01011,-0.1254271808597808,-0.1212611686098993,-0.08976155029994462,-0.04167633839816569,-0.0452784106663114,-0.022868671856032943,0
01013,-0.30535583407236233,0.8393633503535053,0.10862184617959883,0.0042120530836607505,-0.05770017724269775,-0.012664385713731031,2
01015,0.8029346671091455,0.19708849214676344,0.08359291201685574,-0.01553644475046845,-0.012414862524881666,-0.00726005998195845,1
