COUNTYGEOID,C01,C02,C03,C04,label
05021,1.0984981482650984,-0.2510706858337401,-0.010227439598002895,-0.05164470305501653,0
05023,0.2217900944663544,-0.3183722094926481,-0.2052430398686027,-0.5527821476244309,5
05025,-0.8406230677738595,-0.01403619614021632,-0.012868532956819749,-0.011862162597820258,1
05027,0.2061101477559684,-0.035409852797472004,0.9056314904795116,0.10786682481993327,4
05029,0.15847012476214214,-0.16955591274291762,0.0014861069261296114,-0.05832961488036136,2
05031,0.2911526331260585,0.8073441354175188,-0.2070721257584829,-0.007645679749094223,3
05033,0.1689685434502959,-0.19976231322855867,-0.037659937427617335,-0.07080391755598645,2
05035,0.14494872607933987,-0.1322179983606463,0.005251547083206335,-0.03423333294049947,2
05037,0.29110482953267386,0.8073636164501672,-0.20705735024008806,-0.007605343257514486,3
05039,-0.12462110204133213,-0.1637091240512589,-0.038392671821469916,-0.06458501385991475,2
05041,0.1542413249799411,-0.1585532087815243,0.005773724224216257,-0.04962449920323586,2
05043,1.0456557849454176,-0.24398057799420725,-0.01103286301755014,-0.05730878428620214,0
05045,0.6896133755742251,-0.3968811680080157,-0.2595690545712852,-0.18976511279259045,0
05047,0.8019997053150985,-0.2599662849620845,-0.03679509712456176,-0.0715644374172826,0
05049,-0.8406230677738595,-0.014036196140216324,-0.012868532956819743,-0.011862162597820278,1
05051,0.2057996626891661,-0.035335577080283384,0.9056563153414808,0.10790845526115513,4
05053,-0.3495810593956057,-0.12584359738639042,-0.033687646402340565,-0.0537641995129378,1
05055,0.6312573702829243,-0.2554982231094787,-0.046785637674362585,-0.07923347309440244,0
05057,0.2911679148412596,0.8072078879458664,-0.2071217929088251,-0.007716824395714658,3
05059,0.20772425369975805,-0.2074617089090356,-0.05058410692234104,-0.09257545561591528,2
05061,0.3296129336775743,-0.35470098389102306,-0.2772173121899744,0.6495844782578086,6
05063,0.2914557751698121,0.8066304086312631,-0.2070526780684352,-0.007982267910645017,3
05065,-0.8406230677738595,-0.01403619614021632,-0.012868532956819756,-0.011862162597820278,1
05067,0.2819216038215655,-0.25663833703204564,-0.05383454487971945,-0.12193621125553615,2
05069,0.19764433569052886,-0.04262905294767283,0.5376176395488429,0.044424233526143136,4
05071,0.2911060932068257,0.8073604765086577,-0.20706074280089404,-0.0076145567276363155,3
05073,1.0699651859189268,-0.25755722147690663,-0.016057079770872316,-0.05680292444887185,0
05075,0.1678718761366639,-0.2217307184506389,-0.04225649979249399,-0.10383553933564754,2
05077,1.024844018348804,-0.2616571245710367,-0.02170766300569756,-0.06141256959360133,0
05079,-0.8406230677738595,-0.01403619614021632,-0.012868532956819752,-0.01186216259782029,1
05081,0.15464713478343636,-0.1595351814938032,0.005385533232209935,-0.05040043605957359,2
05083,0.17027853231404028,-0.20313631393277615,-0.05105779707200929,-0.09190501398031514,2
05085,0.20567326748815445,-0.035331936269018635,0.90565774407465,0.10789547971628463,4
05087,0.15118014905919522,-0.19400035758148165,-0.04854905866886591,-0.08588669219021018,2
05089,0.214853228090185,-0.32229764496263513,-0.22600620026548826,-0.475874157694115,5
05091,0.2253793497437491,-0.3168881457568697,-0.2888647158987186,0.7984057090330623,6
05093,0.143407305082343,-0.13694663222599282,0.007389523776442851,-0.03182635553711841,2
05095,0.5099363542339429,-0.2402022043620097,-0.04641890168608675,-0.0747559835655726,2
05097,-0.8406230677738595,-0.014036196140216322,-0.012868532956819766,-0.011862162597820287,1
05099,0.12389718135808996,-0.1948926284955547,-0.03809926756730463,-0.07024610924106524,2
05101,-0.8406230677738596,-0.014036196140216329,-0.012868532956819771,-0.011862162597820296,1
05103,0.29117498426449623,0.8071902905164072,-0.2071267646941876,-0.0077128955346814545,3
05105,-0.8406230677738596,-0.014036196140216322,-0.01286853295681977,-0.011862162597820284,1
05107,0.2237404031433184,-0.10464732059221732,0.7570208969558627,0.3762224610919521,4
05109,-0.8406230677738598,-0.014036196140216306,-0.012868532956819764,-0.011862162597820268,1
05111,0.20668671097218028,-0.035410739298117555,0.905674532211364,0.1079097949725762,4
05113,1.106558297034654,-0.2334618173546824,0.000574791284549433,-0.04110197459037113,0
05115,0.23245561363303585,-0.32389206451029273,-0.2033349629169722,-0.5367726511289959,5
05117,0.13504393869145953,-0.19209139640524245,-0.04861226810213208,-0.08557979452830462,2
05119,0.2996916157633362,0.8090243995825931,-0.09452308589650717,0.014703782067565637,3
05121,0.2912315309033977,0.8073468542778455,-0.20705794515136586,-0.007608767527646716,3
05123,0.9857232668900104,-0.2631971465703902,-0.0254170295728126,-0.06425380661934829,0
05125,0.2758010365446148,0.388103050843654,0.5752160265105044,0.07379744371232137,4
05127,-0.8406230677738596,-0.0140361961402163,-0.012868532956819759,-0.011862162597820271,1
05129,0.1760520500011104,-0.3019814042560982,-0.20107420683032398,-0.5533278997050861,5
05131,0.29242375972079804,0.8068574520688296,-0.20742468382291945,-0.007160801014184181,3
05133,0.6115520803660721,-0.3544534767149486,-0.2629753602287749,0.6921012591865757,6
05135,-0.8406230677738596,-0.014036196140216334,-0.012868532956819766,-0.011862162597820271,1
05137,-0.5353315636388233,-0.09958763459253668,-0.033330258623246144,-0.04756918133261727,1
05139,0.16254756855603694,-0.0513909742321841,-0.004404129349996368,-0.03225686219229846,2
05141,-0.8404851373074694,-0.014594360774640816,-0.013106744940717105,-0.012194468892710258,1
